"","HOME","ROAD","GAME.DATE","SPREAD","H.PTS","R.PTS","Diff","sprError","VegDiffPred","VegHPred","VegRPred","PredDifflm01","PredDifflm02","PredHlm01","PredHlm02","PredRlm01","PredRlm02","dpcalm","Hpcalm","Rpcalm","PredDiffRF","PredHRF","PredRRF","PredDiffXGB","PredHXGB","PredRXGB","PredDiffglm","PredHglm","PredRglm"
"43","DEN","BKN",2015-02-23,2.5,82,110,28,25.5,2.59186834904222,101.687671868917,104.323271322194,-2.21477465852819,-1.53827188198525,100.585561237074,100.066449733053,98.3288921509746,98.3897461656624,-2.66663528470672,100.449345282554,98.0834536915223,-1.94551700680272,97.9904421768707,100.246534013605,-2.64543294906616,97.9802627563477,99.6353607177734,-1.8297454666011,100.891110840087,99.2227150151231
"44","DEN","PHI",2015-03-25,-11.5,85,99,14,25.5,-10.9814095807947,110.52804895322,99.4507972482011,-7.0399965191223,-8.00469796742549,100.80899060261,101.072659946647,98.2472524899787,98.579453635189,-6.90620016170638,101.722405584403,97.8324707666137,-6.58963945578232,102.454680272109,99.4059047619048,-2.90200686454773,103.138000488281,97.4086151123047,-5.67226144339995,102.166145549916,98.0990825523814
"47","NYK","LAC",2016-01-22,2.5,88,116,28,25.5,2.59186834904222,102.424369959275,105.054142433293,1.25911521733238,1.96650962815439,107.016719082585,108.02925628525,105.461493090023,105.189851669606,0.78925918317235,105.857027550674,104.943004856942,4.71997619047619,106.310734693878,104.921428571429,5.69745349884033,105.585708618164,107.55721282959,-0.230567022341735,105.063887297252,103.616308753449
"48","GSW","SAS",2016-01-25,-4.5,120,90,-30,-25.5,-4.19477061587622,108.072388652025,103.836023914795,0.524590746418182,0.951373603973727,108.083407759954,104.861645500283,106.145008020076,104.769530669825,-0.145442838449962,107.71900863029,106.488979304407,-1.68182993197279,106.325183673469,105.018731292517,-3.05053281784058,104.12442779541,98.0366439819336,-1.51359600902824,107.323082180983,103.974942630502
"63","DAL","IND",2014-11-24,-14,100,111,11,25,-13.4052092111227,105.862294380949,92.3857098409107,-14.7319069100939,-12.672408225443,106.867381740447,103.544794446537,92.2604376845632,93.9377371303649,-15.7929408962291,104.68047617379,91.7196476873088,-11.5865952380952,103.467972789116,95.1480102040816,-8.20134925842285,104.014389038086,92.4111785888672,-13.2985692103361,105.291937555513,94.0908103779876
"74","GSW","LAL",2016-11-23,-18,149,106,-43,-25,-17.2832886196475,123.297482519437,105.785013544392,-11.2203843637322,-10.8573406655529,123.642194891435,126.895198396728,111.049077517638,112.436138854918,-10.3796197624026,123.245445051405,111.022340823742,-8.7286768707483,119.290884353741,114.98831292517,-6.66707134246826,117.042839050293,108.664497375488,-9.22254323978827,118.616055182638,108.067456817611
"77","OKC","MIL",2017-04-04,-6,110,79,-31,-25,-5.64905039407303,108.072388652025,102.374281692597,-1.94593160846532,-1.93341054284108,107.115294264972,107.628094405027,105.61996749874,106.541094308282,-2.03310436794098,108.772452512451,105.312224752925,-3.34960884353742,107.229163265306,103.241428571429,-3.32035183906555,110.72575378418,102.981674194336,-0.977102035190432,107.516864127167,105.302542989592
"78","LAL","NOP",2013-11-12,3.5,116,95,-21,-24.5,3.56138820117343,98.0041814171236,101.643410581498,7.55868034684392,7.94059884151693,95.7797025274013,95.9832770563556,104.637437535419,102.931258827319,7.10030682203067,94.1459982771095,102.882918865295,6.5037074829932,93.2191428571429,100.631217687075,7.02949094772339,89.754638671875,97.6407775878906,4.40906245763129,97.3974404209029,101.782097239859
"79","ATL","ORL",2013-11-26,-7.5,92,109,17,24.5,-7.10333017226983,103.652200109873,96.527312803805,-5.52355623228266,-4.77661758305905,102.294661309768,101.65983286473,96.6233570669312,96.6592050918309,-6.66214637332186,102.867570617534,95.9621398718565,-7.98120408163265,104.641836734694,93.8815340136055,-9.56242370605469,104.632263183594,92.012580871582,-5.92480069497166,103.323892780714,97.5962234313536
"83","GSW","SAC",2014-04-04,-8.5,102,69,-33,-24.5,-8.07285002440104,103.161068049634,95.065570581607,-4.6190558898849,-5.12718102380922,103.540264063675,103.389181822841,99.2163027801493,98.8215320440452,-5.92749095432314,103.551676597219,98.5898095503631,-9.58439795918367,103.927972789116,97.5644047619048,-8.44049644470215,101.887954711914,98.6509323120117,-6.58409798928255,104.241073960925,99.5786492807125
"84","CHI","BKN",2014-12-30,-10.5,82,96,14,24.5,-10.0118897286635,104.143332170112,94.0910757668083,-6.4309620696644,-6.21879278629828,105.011234932078,104.892426059344,96.9998534855949,97.059268018848,-8.18557258180278,105.186699102331,96.7448447536952,-4.62333673469388,105.327244897959,98.207462585034,-4.07305097579956,104.600997924805,97.7711944580078,-6.97323309277094,103.998187437117,97.9535002035822
"91","CHI","BKN",2017-04-12,-14.5,112,73,-39,-24.5,-13.8899691371883,113.474841314655,99.4507972482011,-6.90602772140969,-6.5853670982536,110.999793724663,110.459813691028,103.751535940174,104.98172689122,-7.06742257134195,111.805018936998,104.336496927957,-6.62824489795918,110.187755102041,107.406833333333,-7.62905216217041,112.040374755859,98.4777603149414,-5.83003486019184,109.476531829452,103.803181305593
"95","HOU","UTA",2014-03-17,-14,124,86,-38,-24,-13.4052092111227,109.300218802623,95.796441692706,-9.66019562211889,-9.22494441181289,107.675651777579,108.504887398097,96.8215355553808,97.124023724497,-9.88214911829928,106.609162568224,98.3292990770115,-11.2769829931973,109.261231292517,97.681149659864,-10.1992464065552,106.433822631836,98.3497543334961,-9.00331019404474,105.944833884727,99.3432937364152
