"","HOME","ROAD","GAME.DATE","W.L","SPREAD","VegPred","log1Pred","log1WL","log2Pred","log2WL","log3Pred","log3WL","RFWL","XGWL","lassoPred","lassoWL","XGPred","RFPred"
"655","MIL","SAS",2016-01-04,0,9.5,0,0.176735980199609,0,0.176735980199609,0,0.133817528969283,0,"0","0",0.17025586011213,0,0.134283185005188,0.23
"658","MIA","MIL",2016-01-19,0,-4.5,1,0.70851286748172,1,0.70851286748172,1,0.754177754562009,1,"1","1",0.708301992469461,1,0.756153106689453,0.85
"663","CHA","DAL",2016-03-14,0,-5.5,1,0.738676290486561,1,0.738676290486561,1,0.696825742330294,1,"1","1",0.706351898146262,1,0.698188900947571,0.88
"664","UTA","LAC",2016-04-08,0,-13.5,1,0.5398206480445,1,0.5398206480445,1,0.562739094412258,1,"0","1",0.546005491955466,1,0.54711389541626,0.42
"670","CHA","WAS",2017-01-23,0,-6.5,1,0.701747153184196,1,0.701747153184196,1,0.645742881380774,1,"1","1",0.646914347918584,1,0.674528419971466,0.75
"681","MEM","PHX",2013-12-03,1,-3,1,0.385389354036187,0,0.385389354036187,0,0.447493524467518,0,"0","0",0.459831169766771,0,0.445247203111649,0.46
"684","DET","HOU",2013-12-21,0,1,0,0.426061700966037,0,0.426061700966037,0,0.405513767762533,0,"0","0",0.434279561833505,0,0.385150909423828,0.36
"688","ATL","BKN",2014-01-16,0,1,0,0.708497320183454,1,0.708497320183454,1,0.709326790720319,1,"1","1",0.673774687311849,1,0.694298982620239,0.9
"691","CLE","UTA",2014-02-28,1,-4,1,0.491424899106753,0,0.491424899106753,0,0.566803603066921,1,"1","1",0.557548930086042,1,0.546463906764984,0.67
"692","NYK","CLE",2014-03-23,0,-10,1,0.696708953893277,1,0.696708953893277,1,0.731921431332801,1,"1","1",0.714700565395524,1,0.720779895782471,0.87
"696","NYK","OKC",2015-01-28,1,8,0,0.331630486005376,0,0.331630486005376,0,0.385204451907705,0,"0","0",0.401755235619963,0,0.36940923333168,0.31
"697","POR","PHX",2015-02-05,1,-5,1,0.714127072734783,1,0.714127072734783,1,0.706411441111701,1,"1","1",0.686929160241881,1,0.718201756477356,0.81
"700","NYK","LAC",2015-03-25,0,15,0,0.149294040165084,0,0.149294040165084,0,0.181314064471587,0,"0","0",0.219099279289739,0,0.17578986287117,0.03
"703","POR","UTA",2015-04-11,0,-10,1,0.721166016059855,1,0.721166016059855,1,0.69048691064216,1,"1","1",0.675166407722053,1,0.679988145828247,0.89
"709","IND","ATL",2016-01-28,1,-3,1,0.647608714078265,1,0.647608714078265,1,0.584948898402989,1,"1","1",0.580978187968889,1,0.60188227891922,0.64
"712","BKN","NYK",2016-02-19,1,5,0,0.555943331783201,1,0.555943331783201,1,0.465634030954096,0,"0","0",0.502277911089886,1,0.475139945745468,0.33
"713","ATL","MIL",2016-02-20,0,-8,1,0.751930734565187,1,0.751930734565187,1,0.789392407091625,1,"1","1",0.75549592578766,1,0.771962761878967,0.99
"723","WAS","BKN",2016-12-30,1,-7,1,0.790876036594983,1,0.790876036594983,1,0.798989796035444,1,"1","1",0.756022365168229,1,0.798544406890869,0.95
"725","MIL","PHI",2017-01-25,0,-11,1,0.791517927120572,1,0.791517927120572,1,0.768520338401496,1,"1","1",0.72485149874351,1,0.785078823566437,0.83
"727","SAS","DAL",2017-01-29,0,-12,1,0.843107727526591,1,0.843107727526591,1,0.830347978784614,1,"1","1",0.798967394312808,1,0.832465469837189,0.96
"728","DEN","MEM",2017-02-01,0,4,0,0.387647967946547,0,0.387647967946547,0,0.52752496230317,1,"0","1",0.560777881312698,1,0.530500531196594,0.55
"738","MIN","UTA",2014-01-18,1,-10.5,1,0.735717481195555,1,0.735717481195555,1,0.788876409951958,1,"1","1",0.736494922667101,1,0.781290113925934,0.83
"739","NOP","SAC",2014-01-21,0,1.5,0,0.706721866528465,1,0.706721866528465,1,0.626863313549582,1,"1","1",0.60383472441548,1,0.647587180137634,0.86
"740","CLE","CHI",2014-01-22,0,-4.5,1,0.469190735613952,0,0.469190735613952,0,0.413621090951619,0,"0","0",0.423325654262065,0,0.410986810922623,0.51
"742","BOS","GSW",2014-03-05,0,4.5,0,0.467241924125252,0,0.467241924125252,0,0.424077674881087,0,"0","0",0.423087124452465,0,0.442582905292511,0.2
"743","HOU","MIN",2014-03-20,1,-7.5,1,0.777854652359574,1,0.777854652359574,1,0.683308989059869,1,"1","1",0.675234275066685,1,0.71532016992569,0.82
"745","WAS","MIA",2014-04-14,1,-5.5,1,0.317754245613524,0,0.317754245613524,0,0.340494105233407,0,"0","0",0.395590344349071,0,0.343150794506073,0.29
"747","MIN","MIL",2014-11-26,0,1.5,0,0.393060576821722,0,0.393060576821722,0,0.398515438524251,0,"0","0",0.415695402381685,0,0.407758623361588,0.43
"760","POR","LAC",2015-11-20,1,4.5,0,0.398187844341303,0,0.398187844341303,0,0.399673125704848,0,"0","0",0.435822052908148,0,0.377770364284515,0.33
"762","LAC","UTA",2015-11-25,0,-4.5,1,0.626413672599573,1,0.626413672599573,1,0.605098951300435,1,"1","1",0.634316185667668,1,0.632892787456512,0.66
"771","MIN","SAS",2016-03-08,0,9.5,0,0.254710534987504,0,0.254710534987504,0,0.210375703047629,0,"0","0",0.253744051195785,0,0.218991726636887,0.29
"774","SAC","LAL",2016-11-10,0,-5.5,1,0.478091910773814,0,0.478091910773814,0,0.489294150725092,0,"1","0",0.487599004179829,0,0.495200872421265,0.47
"776","BKN","POR",2016-11-20,0,4.5,0,0.562958075570246,1,0.562958075570246,1,0.584644787598831,1,"1","1",0.590351975411056,1,0.567019283771515,0.75
"777","DAL","NOP",2016-11-27,1,5.5,0,0.360476461196211,0,0.360476461196211,0,0.378865396921457,0,"0","0",0.340205205875541,0,0.364262223243713,0.15
"783","WAS","POR",2017-01-16,1,-3.5,1,0.637602720291514,1,0.637602720291514,1,0.669093014838786,1,"1","1",0.631297426362234,1,0.653481364250183,0.65
"785","PHX","MEM",2017-01-30,0,3.5,0,0.376774288483288,0,0.376774288483288,0,0.367000247769608,0,"0","0",0.429581556743267,0,0.373630732297897,0.43
"790","DET","TOR",2017-03-17,0,-3.5,1,0.506026430300909,1,0.506026430300909,1,0.487128521371787,0,"0","0",0.492016822635588,0,0.481787860393524,0.54
"791","CHI","UTA",2017-03-18,1,6.5,0,0.370557154196262,0,0.370557154196262,0,0.332138826340622,0,"0","0",0.376107534536449,0,0.347225695848465,0.14
"800","IND","BOS",2013-12-22,1,-12,1,0.831630625996227,1,0.831630625996227,1,0.852095155298305,1,"1","1",0.818866027122085,1,0.85268759727478,1
"805","TOR","LAL",2014-01-19,0,-9,1,0.811621750507163,1,0.811621750507163,1,0.834612230744701,1,"1","1",0.805609755708334,1,0.826980412006378,0.85
"808","DET","DEN",2014-02-08,1,-2,1,0.531498890834147,1,0.531498890834147,1,0.525067274163128,1,"0","1",0.545486680179438,1,0.515810489654541,0.48
"810","CHA","DET",2014-02-19,1,-3,1,0.653059153704292,1,0.653059153704292,1,0.642502985329353,1,"1","1",0.647223614959024,1,0.64818286895752,0.84
"811","CLE","DET",2014-04-09,1,-7,1,0.523438976554401,1,0.523438976554401,1,0.575197651734513,1,"1","1",0.591781458619787,1,0.583280622959137,0.78
"814","SAC","ORL",2014-12-06,0,-6,1,0.743876550165474,1,0.743876550165474,1,0.743644517386301,1,"1","1",0.706823083456944,1,0.734189629554749,0.82
"817","WAS","CHI",2015-01-09,1,-1,1,0.538774308942126,1,0.538774308942126,1,0.676996453878717,1,"1","1",0.621138266644038,1,0.652655184268951,0.62
"821","GSW","BOS",2015-01-25,1,-18,1,0.924982981443938,1,0.924982981443938,1,0.893643906775911,1,"1","1",0.883950603153163,1,0.899770736694336,0.98
"824","DET","CHI",2015-02-20,1,6,0,0.475198051849151,0,0.475198051849151,0,0.446956562221935,0,"0","0",0.447802014318312,0,0.446201413869858,0.22
"825","MIA","PHX",2015-03-02,1,-2,1,0.49675629983738,0,0.49675629983738,0,0.574074079609282,1,"1","1",0.567567857401805,1,0.5753133893013,0.63
"826","CHA","SAC",2015-03-11,0,-8,1,0.594556111872756,1,0.594556111872756,1,0.600769817398555,1,"1","1",0.629366063961407,1,0.596822082996368,0.7
"830","CHA","BOS",2015-03-30,0,-3,1,0.551556437262824,1,0.551556437262824,1,0.581311243670486,1,"1","1",0.597468837582874,1,0.584657311439514,0.72
"843","BOS","HOU",2017-01-25,1,4,0,0.490435462314626,0,0.490435462314626,0,0.49240284929166,0,"0","1",0.499471196780897,0,0.502614080905914,0.43
"846","CHI","TOR",2017-02-14,1,4,0,0.428564082294485,0,0.428564082294485,0,0.403945270882561,0,"0","0",0.431885686387888,0,0.420807659626007,0.3
"851","DEN","CLE",2017-03-22,1,2,0,0.48899060234104,0,0.48899060234104,0,0.521928848560253,1,"0","1",0.538251041466715,1,0.52169281244278,0.5
"856","MIL","MIN",2013-12-28,0,7.5,0,0.215300088480136,0,0.215300088480136,0,0.276948424798287,0,"0","0",0.343025893457631,0,0.282107084989548,0.23
"864","MIA","DEN",2014-03-14,0,-10.5,1,0.76634094407117,1,0.76634094407117,1,0.815048412829404,1,"1","1",0.747184268067632,1,0.792449831962585,0.8
"865","CHA","MIN",2014-03-14,1,2.5,0,0.553556897111662,1,0.553556897111662,1,0.506739964144813,1,"1","1",0.541318630004177,1,0.531330704689026,0.74
"868","MIA","IND",2014-11-12,0,-8.5,1,0.769647531633008,1,0.769647531633008,1,0.804423210246257,1,"1","1",0.762030464231858,1,0.801106572151184,0.78
"875","DEN","MIA",2014-12-10,1,-5.5,1,0.398741158979619,0,0.398741158979619,0,0.457261972199077,0,"1","0",0.506461704360495,1,0.450709015130997,0.51
"877","CHA","UTA",2014-12-20,1,-3.5,1,0.525414787555442,1,0.525414787555442,1,0.497189671354293,0,"0","1",0.534799818335533,1,0.525435924530029,0.5
"880","BOS","CHA",2015-01-05,0,-5.5,1,0.696181242575537,1,0.696181242575537,1,0.694986493391826,1,"1","1",0.682338654997132,1,0.689705908298492,0.8
"882","LAL","CHI",2015-01-29,1,9.5,0,0.298637835435584,0,0.298637835435584,0,0.325138822716754,0,"0","0",0.350321450986916,0,0.332044243812561,0.17
"885","LAL","MIL",2015-02-27,1,6.5,0,0.49322511154062,0,0.49322511154062,0,0.340156957279766,0,"0","0",0.387575865338037,0,0.347130209207535,0.47
"888","CHI","TOR",2015-03-20,1,-1.5,1,0.480609352417604,0,0.480609352417604,0,0.514729616934751,1,"1","1",0.545773067787134,1,0.520651042461395,0.64
"889","OKC","MIA",2015-03-22,1,-3.5,1,0.704780684510054,1,0.704780684510054,1,0.666989444638745,1,"1","1",0.650859001864718,1,0.673471570014954,0.72
"891","IND","CHA",2015-04-03,1,-4.5,1,0.731514244229172,1,0.731514244229172,1,0.672590334011241,1,"1","1",0.622274731369862,1,0.672213733196259,0.82
"905","NYK","POR",2016-03-01,0,4.5,0,0.465634855815234,0,0.465634855815234,0,0.51256321662326,1,"1","1",0.50540290224743,1,0.511795222759247,0.44
"906","IND","SAS",2016-03-07,1,6.5,0,0.311361646658443,0,0.311361646658443,0,0.285045700620084,0,"0","0",0.305829126454475,0,0.280789792537689,0.23
"915","POR","HOU",2016-11-27,0,1.5,0,0.431299644194641,0,0.431299644194641,0,0.45149647495264,0,"0","0",0.472715156915691,0,0.460911095142365,0.35
"921","ORL","CHA",2016-12-28,0,4.5,0,0.376597499099185,0,0.376597499099185,0,0.376869523530576,0,"0","0",0.438387745266211,0,0.392623156309128,0.24
"924","HOU","ATL",2017-02-02,0,-9.5,1,0.839440342100533,1,0.839440342100533,1,0.784666981804625,1,"1","1",0.745222573379606,1,0.793517649173737,0.76
"928","GSW","MIL",2017-03-18,1,-10.5,1,0.820039349999742,1,0.820039349999742,1,0.795241156289546,1,"1","1",0.759803021935977,1,0.795394480228424,0.95
"930","NYK","MIA",2017-03-29,0,2.5,0,0.374004060275797,0,0.374004060275797,0,0.45680259089389,0,"0","0",0.476939932266766,0,0.432379901409149,0.44
"936","UTA","HOU",2013-12-02,1,8,0,0.117222417731066,0,0.117222417731066,0,0.124992536471594,0,"0","0",0.143724260964117,0,0.111928969621658,0.11
"938","LAL","PHI",2013-12-29,0,-7,1,0.759949915251997,1,0.759949915251997,1,0.686828866420657,1,"1","1",0.695622534152724,1,0.695018231868744,0.77
"940","OKC","BKN",2014-01-02,0,-12,1,0.866518852256381,1,0.866518852256381,1,0.869710379205551,1,"1","1",0.852215739825804,1,0.855431258678436,0.99
"941","OKC","BOS",2014-01-05,1,-9,1,0.822292886367843,1,0.822292886367843,1,0.854296858257669,1,"1","1",0.833127781510055,1,0.849342465400696,0.96
"942","ATL","IND",2014-01-08,1,4,0,0.327017026145888,0,0.327017026145888,0,0.358066852011346,0,"0","0",0.386334665582673,0,0.356871068477631,0.5
"946","LAC","ATL",2014-03-08,1,-15,1,0.823357867666362,1,0.823357867666362,1,0.81881841671632,1,"1","1",0.825739683431414,1,0.836617290973663,0.83
"951","LAL","TOR",2014-11-30,1,7,0,0.112851610437643,0,0.112851610437643,0,0.145557872982301,0,"0","0",0.185027596127767,0,0.15356707572937,0.06
"952","HOU","MEM",2014-12-03,1,5,0,0.51609440069003,1,0.51609440069003,1,0.504862455349475,1,"0","1",0.497200713435657,0,0.503270268440247,0.41
"954","DAL","MIL",2014-12-07,1,-9,1,0.739818419131671,1,0.739818419131671,1,0.722829637203018,1,"1","1",0.71239143655975,1,0.745077192783356,0.59
"955","BKN","CLE",2014-12-08,0,8,0,0.331624307219095,0,0.331624307219095,0,0.402012223754092,0,"0","0",0.397799594884316,0,0.399602264165878,0.33
"956","CHI","BKN",2014-12-10,1,-11,1,0.74597896990005,1,0.74597896990005,1,0.736599753825114,1,"1","1",0.741883331991628,1,0.741494178771973,0.91
"957","SAS","LAL",2014-12-12,0,-12,1,0.940396008599696,1,0.940396008599696,1,0.927035517452077,1,"1","1",0.89210569050135,1,0.921736180782318,0.97
"960","CHA","ORL",2014-12-27,0,-6,1,0.619240233716558,1,0.619240233716558,1,0.621054785907856,1,"1","1",0.652049765121374,1,0.645593762397766,0.76
"963","NOP","DEN",2015-01-28,0,-6,1,0.720493495481031,1,0.720493495481031,1,0.745276535468966,1,"1","1",0.730509358803108,1,0.736985981464386,0.89
"966","DEN","UTA",2015-03-27,1,-2,1,0.452598436755459,0,0.452598436755459,0,0.409266315800421,0,"0","0",0.453015007718255,0,0.419046014547348,0.32
"968","BOS","MIL",2015-04-03,0,-5,1,0.554945544817386,1,0.554945544817386,1,0.512542886694595,1,"1","1",0.552802777281632,1,0.508361756801605,0.63
"970","ATL","CHA",2015-04-10,1,-10,1,0.870218700964264,1,0.870218700964264,1,0.854789755408689,1,"1","1",0.818028812271123,1,0.846552729606628,0.91
"974","MIA","BOS",2015-11-30,0,-4,1,0.659812099961168,1,0.659812099961168,1,0.68765987812136,1,"1","1",0.694511669775239,1,0.700667500495911,0.81
"976","ATL","TOR",2015-12-02,0,-4,1,0.644064149883538,1,0.644064149883538,1,0.594945351380553,1,"1","1",0.596099467646138,1,0.604857087135315,0.68
"978","MEM","WAS",2015-12-14,1,-3,1,0.4435394964641,0,0.4435394964641,0,0.488721959987225,0,"0","0",0.480048786818391,0,0.481678813695908,0.42
"981","SAS","NYK",2016-01-08,1,-15,1,0.937986590172509,1,0.937986590172509,1,0.922275413699606,1,"1","1",0.897871006048856,1,0.9229456782341,0.99
"982","MEM","HOU",2016-01-12,0,2,0,0.449269189479316,0,0.449269189479316,0,0.529777046172198,1,"1","1",0.540176101402312,1,0.527911424636841,0.54
"985","PHI","GSW",2016-01-30,0,17,0,0.0721631046110456,0,0.0721631046110456,0,0.0613029786779028,0,"0","0",0.0955191227508772,0,0.0606042444705963,0.05
"986","OKC","NOP",2016-02-11,1,-12,1,0.825249876208388,1,0.825249876208388,1,0.811742759785899,1,"1","1",0.795744850402666,1,0.814450323581696,0.88
"990","IND","CHI",2016-11-05,1,-3,1,0.282466058318137,0,0.282466058318137,0,0.284367641129047,0,"0","0",0.329377013928475,0,0.295588999986649,0.44
"994","DEN","MIA",2016-11-30,0,-6,1,0.501934412135099,1,0.501934412135099,1,0.579761297272751,1,"1","1",0.594626960737189,1,0.556778967380524,0.64
"996","LAC","NOP",2016-12-10,1,-14,1,0.898399972552269,1,0.898399972552269,1,0.870941172546991,1,"1","1",0.832350364088205,1,0.873669803142548,0.97
"1000","CHI","OKC",2017-01-09,0,1,0,0.619255942879738,1,0.619255942879738,1,0.548380088655726,1,"0","1",0.551017505786848,1,0.571621596813202,0.41
"1010","LAC","SAC",2017-03-26,0,-13,1,0.788453818916253,1,0.788453818916253,1,0.811771848261817,1,"1","1",0.800980996058235,1,0.814397990703583,0.95
"1013","HOU","BOS",2013-11-19,1,-10.5,1,0.617747820027398,1,0.617747820027398,1,0.756209239434329,1,"1","1",0.762903988385322,1,0.77651458978653,0.87
"1020","CLE","NOP",2014-01-28,0,-2.5,1,0.550197189416658,1,0.550197189416658,1,0.50512596718608,1,"0","0",0.511710308727626,1,0.496795564889908,0.43
"1025","CLE","SAS",2014-03-04,0,7.5,0,0.356158898762675,0,0.356158898762675,0,0.309274750491507,0,"0","0",0.340453455254444,0,0.313736230134964,0.24
"1031","MEM","LAC",2014-11-23,1,-2.5,1,0.624512700548875,1,0.624512700548875,1,0.728942253979631,1,"1","1",0.698473363664864,1,0.72959315776825,0.68
"1034","BOS","ORL",2014-12-17,1,-3.5,1,0.646821645033264,1,0.646821645033264,1,0.636487672686909,1,"1","1",0.655325913214782,1,0.661709666252136,0.76
"1044","GSW","CHI",2015-01-27,0,-11.5,1,0.872168360960566,1,0.872168360960566,1,0.846242601171707,1,"1","1",0.836395927063355,1,0.851126134395599,0.94
"1046","POR","SAS",2015-02-25,1,-2.5,1,0.578713551147493,1,0.578713551147493,1,0.57034868748553,1,"1","1",0.583105166211977,1,0.574018776416779,0.87
"1047","ORL","CHA",2015-03-01,0,1.5,0,0.659845813639588,1,0.659845813639588,1,0.595039909578558,1,"1","1",0.589746986185306,1,0.597971439361572,0.52
"1048","DAL","MEM",2015-03-20,0,-2.5,1,0.713356678429607,1,0.713356678429607,1,0.62396825560524,1,"1","1",0.645245645775321,1,0.643667280673981,0.85
"1049","BOS","DET",2015-03-22,0,-5.5,1,0.582436511571664,1,0.582436511571664,1,0.595501994393962,1,"1","1",0.619326972019443,1,0.603927254676819,0.89
"1059","MIA","BKN",2015-12-28,0,-7.5,1,0.852408627016873,1,0.852408627016873,1,0.853771219046192,1,"1","1",0.82161078238788,1,0.859440743923187,0.97
"1060","NYK","DET",2015-12-29,1,1.5,0,0.515086147570657,1,0.515086147570657,1,0.585310779714883,1,"1","1",0.536472253025823,1,0.566147029399872,0.61
"1062","NOP","DET",2016-01-21,1,-2.5,1,0.447229563114034,0,0.447229563114034,0,0.507733516460594,1,"0","0",0.50219188512823,1,0.487767189741135,0.39
"1063","PHX","ATL",2016-01-23,1,10.5,0,0.374155189946578,0,0.374155189946578,0,0.334403837159003,0,"0","0",0.320354990052121,0,0.326265245676041,0.2
"1069","NOP","NYK",2016-03-28,1,5.5,0,0.595507309128749,1,0.595507309128749,1,0.53907994833193,1,"1","1",0.549837335081664,1,0.552126348018646,0.68
"1077","LAL","ORL",2017-01-08,1,-2.5,1,0.631368633295026,1,0.631368633295026,1,0.577951708284778,1,"1","1",0.586823044345076,1,0.557102501392365,0.57
"1081","CHA","PHI",2017-02-13,0,-7.5,1,0.768656496671678,1,0.768656496671678,1,0.747300740705759,1,"1","1",0.729743081514113,1,0.756632447242737,0.93
"1088","CHA","MIL",2017-03-28,0,-3.5,1,0.673558575913633,1,0.673558575913633,1,0.611539640498927,1,"1","1",0.633526796474065,1,0.62551087141037,0.79
"1092","PHX","SAC",2013-11-20,0,-6,1,0.824769828493389,1,0.824769828493389,1,0.784608404484657,1,"1","1",0.75989855369196,1,0.787130951881409,0.93
"1093","CHA","BOS",2013-11-25,0,-3,1,0.715594951064374,1,0.715594951064374,1,0.728728588652563,1,"1","1",0.727830803250306,1,0.753333508968353,0.77
"1096","NOP","DEN",2013-12-27,1,-3,1,0.614383174300046,1,0.614383174300046,1,0.578526547072652,1,"1","1",0.575509207048229,1,0.565387666225433,0.58
"1097","PHX","MEM",2014-01-02,0,-5,1,0.694331125789579,1,0.694331125789579,1,0.690438316450193,1,"1","1",0.702717989696695,1,0.690919280052185,0.9
"1100","SAC","ORL",2014-01-10,1,-7,1,0.676522539045194,1,0.676522539045194,1,0.655409073509981,1,"1","1",0.653102305480409,1,0.64947509765625,0.77
"1102","LAL","CHA",2014-01-31,0,-3,1,0.441993685840482,0,0.441993685840482,0,0.503847740207244,1,"1","1",0.50679311885173,1,0.500365138053894,0.62
"1104","CHI","NYK",2014-03-02,1,-6,1,0.609372442699045,1,0.609372442699045,1,0.709078398275139,1,"1","1",0.713558952912911,1,0.703153431415558,0.69
"1108","SAS","MEM",2014-04-06,1,-7,1,0.808717108933379,1,0.808717108933379,1,0.808810012094472,1,"1","1",0.794564739225,1,0.804126441478729,0.92
"1114","PHI","BOS",2014-12-15,0,5,0,0.338373059964507,0,0.338373059964507,0,0.330865889072978,0,"0","0",0.34839850842416,0,0.313303470611572,0.17
"1116","CHA","MIL",2014-12-29,0,-3,1,0.583151631331472,1,0.583151631331472,1,0.433621170861227,0,"0","0",0.490949845605352,0,0.453404098749161,0.5
"1117","OKC","GSW",2015-01-16,1,1,0,0.224753820724583,0,0.224753820724583,0,0.228375180838333,0,"0","0",0.256089251275325,0,0.237044557929039,0.04
"1118","TOR","NOP",2015-01-18,0,-11,1,0.714082502939477,1,0.714082502939477,1,0.694379481320051,1,"1","1",0.673936999461612,1,0.693337619304657,0.87
"1119","IND","NYK",2015-01-29,1,-8,1,0.774702521053508,1,0.774702521053508,1,0.723068833423713,1,"1","1",0.686311013215678,1,0.746308267116547,0.78
"1121","PHI","MIN",2015-01-30,1,4,0,0.531146373405411,1,0.531146373405411,1,0.491404522156757,0,"1","0",0.515746191035813,1,0.494680792093277,0.52
"1122","TOR","MIL",2015-02-02,0,-6,1,0.73552021090132,1,0.73552021090132,1,0.627250525533747,1,"1","1",0.636601853386875,1,0.642612397670746,0.72
"1123","DET","MIA",2015-02-03,1,-4,1,0.579205376387305,1,0.579205376387305,1,0.555403809426141,1,"0","1",0.561732293248994,1,0.567425429821014,0.52
"1129","CLE","BKN",2015-03-18,1,-12,1,0.761842929506824,1,0.761842929506824,1,0.772382348121867,1,"1","1",0.753991971948965,1,0.767573237419128,0.96
"1130","MIA","CHI",2015-04-09,0,-2,1,0.383254343680032,0,0.383254343680032,0,0.458723916238345,0,"0","0",0.443076646660527,0,0.430345982313156,0.36
"1134","SAS","MIL",2015-12-02,1,-12,1,0.917420510075102,1,0.917420510075102,1,0.89096526942592,1,"1","1",0.86198090095384,1,0.890177369117737,0.89
"1138","PHX","NOP",2015-12-18,1,-3,1,0.686168391229673,1,0.686168391229673,1,0.684857286425689,1,"1","1",0.658928523690207,1,0.66889214515686,0.83
"1144","NOP","DEN",2016-03-31,1,7,0,0.597998171501358,1,0.597998171501358,1,0.601813507890206,1,"1","1",0.582341095006541,1,0.61834454536438,0.74
"1145","DEN","OKC",2016-04-05,0,9,0,0.271494331103201,0,0.271494331103201,0,0.303928126708268,0,"0","0",0.329718035792959,0,0.287758469581604,0.08
"1151","POR","ORL",2017-01-13,0,-7,1,0.64576014081424,1,0.64576014081424,1,0.66788476024299,1,"1","1",0.675240284198018,1,0.647466421127319,0.61
"1157","ORL","TOR",2017-02-03,1,5,0,0.306141208323262,0,0.306141208323262,0,0.310392238778892,0,"0","0",0.351452539883089,0,0.322916179895401,0.16
"1158","GSW","CHI",2017-02-08,1,-18,1,0.904071814735202,1,0.904071814735202,1,0.89144183251375,1,"1","1",0.843490575964241,1,0.889032661914825,0.92
"1159","LAL","BOS",2017-03-03,0,7,0,0.380235212279747,0,0.380235212279747,0,0.326613811348029,0,"0","0",0.353007842603267,0,0.335596948862076,0.11
"1167","ATL","LAC",2013-12-04,1,2.5,0,0.421524480183027,0,0.421524480183027,0,0.478177739347417,0,"0","0",0.440981306647168,0,0.467207282781601,0.33
"1176","ATL","MIA",2014-01-20,1,5.5,0,0.396465931469166,0,0.396465931469166,0,0.405080145389671,0,"0","0",0.446150155970257,0,0.412742018699646,0.28
"1177","SAS","OKC",2014-01-22,0,-6.5,1,0.569495954988902,1,0.569495954988902,1,0.599645730348868,1,"1","1",0.6137032376024,1,0.581864655017853,0.77
"1178","NYK","PHI",2014-01-22,0,-8.5,1,0.708053882294529,1,0.708053882294529,1,0.725164535700102,1,"1","1",0.682757143056642,1,0.714379549026489,0.86
"1185","MIN","TOR",2014-03-09,0,-5.5,1,0.527105970739915,1,0.527105970739915,1,0.592974913850769,1,"1","1",0.584853482762567,1,0.58746200799942,0.61
"1194","ORL","CHA",2015-01-03,0,-4.5,1,0.718854454111025,1,0.718854454111025,1,0.697967676808273,1,"1","1",0.669378880879674,1,0.690436482429504,0.88
"1199","UTA","MIN",2015-03-23,0,-10.5,1,0.864213258722897,1,0.864213258722897,1,0.813917594710298,1,"1","1",0.791218418924474,1,0.821880578994751,0.93
"1201","PHI","CHI",2015-11-09,0,10.5,0,0.417340934798258,0,0.417340934798258,0,0.392188406596557,0,"0","0",0.404802459752246,0,0.383571445941925,0.27
"1202","NOP","DAL",2015-11-10,1,-2.5,1,0.287231876237348,0,0.287231876237348,0,0.303590315412667,0,"0","0",0.332193801610679,0,0.297164976596832,0.38
"1207","POR","OKC",2016-01-10,1,7.5,0,0.322919992841491,0,0.322919992841491,0,0.286937257726622,0,"0","0",0.314081643099794,0,0.289166837930679,0.12
"1209","NOP","LAL",2016-02-04,0,-9.5,1,0.863754871527231,1,0.863754871527231,1,0.85074316269537,1,"1","1",0.804039438552716,1,0.856426537036896,0.93
"1210","SAS","LAL",2016-02-06,1,-16.5,1,0.981756506697058,1,0.981756506697058,1,0.969947136255016,1,"1","1",0.952778002624611,1,0.970367610454559,0.99
"1224","WAS","LAC",2016-12-18,1,5.5,0,0.362989057609761,0,0.362989057609761,0,0.338816499980555,0,"0","0",0.371702848678156,0,0.341021031141281,0.19
"1231","MIL","IND",2017-03-10,1,-1.5,1,0.605599889283323,1,0.605599889283323,1,0.65977362649183,1,"1","1",0.643523157791547,1,0.661943852901459,0.84
"1237","CLE","CHA",2013-11-15,0,-6,1,0.424378270200994,0,0.424378270200994,0,0.438213809418637,0,"0","0",0.450590259286135,0,0.43299189209938,0.34
"1241","LAL","GSW",2013-11-22,1,5,0,0.247413835865813,0,0.247413835865813,0,0.198315093210245,0,"0","0",0.269247684432883,0,0.204703032970428,0.09
"1247","LAC","ORL",2014-01-06,1,-8,1,0.836144626872364,1,0.836144626872364,1,0.823420033700899,1,"1","1",0.779889641439706,1,0.830510795116425,0.95
"1256","PHI","MEM",2014-03-15,0,14,0,0.21833347926569,0,0.21833347926569,0,0.235616325961794,0,"0","0",0.263700365364581,0,0.234316676855087,0.2
"1258","ATL","NOP",2014-03-21,0,-6,1,0.695952877497929,1,0.695952877497929,1,0.676248914811633,1,"1","1",0.660217970291665,1,0.652805387973785,0.84
"1261","HOU","LAC",2014-03-29,0,-1,1,0.644067120013765,1,0.644067120013765,1,0.619483185009666,1,"1","1",0.651269261950888,1,0.639451503753662,0.77
"1263","MIN","CHI",2014-04-09,0,3,0,0.484548095376434,0,0.484548095376434,0,0.556285113963862,1,"1","1",0.553220683543935,1,0.553707838058472,0.58
"1269","DET","LAL",2014-12-02,0,-2,1,0.692213035745247,1,0.692213035745247,1,0.614493588607463,1,"1","1",0.596604189419978,1,0.629770755767822,0.48
