"","HOME","ROAD","GAME.DATE","W.L","SPREAD","VegPred","log1Pred","log1WL","log2Pred","log2WL","log3Pred","log3WL","RFWL","XGWL","lassoPred","lassoWL","XGPred","RFPred"
"157","DEN","NOP",2014-11-21,1,2.5,0,0.306012073759931,0,0.306012073759931,0,0.316464914270743,0,"0","0",0.337760785793761,0,0.302306741476059,0.07
"158","GSW","PHI",2014-12-30,1,-17.5,1,0.968537449826427,1,0.968537449826427,1,0.956866999080897,1,"1","1",0.930859243808729,1,0.956968069076538,0.98
"161","MEM","LAC",2015-02-27,0,-4.5,1,0.505154690160111,1,0.505154690160111,1,0.563762463162286,1,"0","1",0.533055426276757,1,0.551692545413971,0.55
"169","IND","GSW",2016-11-21,0,14.5,0,0.284028935471938,0,0.284028935471938,0,0.269078051811049,0,"0","0",0.315882868367205,0,0.265914767980576,0.26
"170","CLE","LAC",2016-12-01,0,-3.5,1,0.565107811019098,1,0.565107811019098,1,0.540033330792433,1,"1","1",0.566754518289234,1,0.542682230472565,0.48
"174","SAC","DEN",2017-02-23,1,6.5,0,0.619894650030053,1,0.619894650030053,1,0.554532504909955,1,"0","1",0.558695349363513,1,0.561390280723572,0.56
"175","ORL","ATL",2017-02-25,1,3.5,0,0.431014010293291,0,0.431014010293291,0,0.435752564684451,0,"0","0",0.450048392599586,0,0.455221742391586,0.21
"177","NOP","HOU",2017-03-17,1,6.5,0,0.325352336186591,0,0.325352336186591,0,0.322761255153527,0,"0","0",0.362756846793232,0,0.335373073816299,0.21
"183","DAL","WAS",2014-12-30,1,-5,1,0.579657349202379,1,0.579657349202379,1,0.567936442463402,1,"1","1",0.586819583042135,1,0.574718296527863,0.72
"190","MIA","DAL",2016-01-01,1,-2,1,0.60535108267471,1,0.60535108267471,1,0.592891194291096,1,"1","1",0.576845467491174,1,0.601621866226196,0.7
"191","HOU","POR",2016-02-06,0,-5,1,0.63646681824478,1,0.63646681824478,1,0.562087617729506,1,"1","1",0.557974390256381,1,0.572173416614532,0.67
"194","DEN","HOU",2016-12-02,0,-4,1,0.370023524328728,0,0.370023524328728,0,0.39412868913118,0,"0","0",0.430108493857563,0,0.388321071863174,0.54
"200","NYK","BKN",2014-01-20,0,1.5,0,0.441752687689122,0,0.441752687689122,0,0.503369674506612,1,"0","0",0.500038788161396,1,0.48070564866066,0.51
"202","IND","SAS",2014-03-31,0,4.5,0,0.435954606359345,0,0.435954606359345,0,0.45723079646832,0,"0","0",0.422215531380428,0,0.447937399148941,0.51
"203","PHI","CHA",2014-04-02,0,8.5,0,0.285331000526343,0,0.285331000526343,0,0.249722079914409,0,"0","0",0.290936550659139,0,0.247840985655785,0.16
"204","CLE","BKN",2014-04-16,1,-7.5,1,0.384920945479344,0,0.384920945479344,0,0.378733542019501,0,"0","0",0.458326578629295,0,0.367196708917618,0.45
"206","MEM","HOU",2014-11-17,1,-4.5,1,0.507471092547383,1,0.507471092547383,1,0.540516344584966,1,"1","1",0.528292708717815,1,0.51722925901413,0.59
"207","CLE","ORL",2014-11-24,1,-10.5,1,0.600428597115482,1,0.600428597115482,1,0.564635067017787,1,"1","1",0.584126433468438,1,0.579027950763702,0.59
"212","LAL","MIL",2015-12-15,1,3.5,0,0.407691595965045,0,0.407691595965045,0,0.386285499289543,0,"0","0",0.413631406573557,0,0.392837673425674,0.26
"217","MIA","WAS",2016-02-20,1,1.5,0,0.614056126489801,1,0.614056126489801,1,0.664415511122117,1,"1","1",0.636108798037954,1,0.663363814353943,0.81
"224","HOU","PHX",2016-04-07,0,-12.5,1,0.785030220062602,1,0.785030220062602,1,0.788569326726734,1,"1","1",0.766880389076787,1,0.794214367866516,0.98
"233","HOU","ATL",2013-11-27,1,-8,1,0.781709703656794,1,0.781709703656794,1,0.737358150806915,1,"1","1",0.747793898168542,1,0.760419845581055,0.86
"239","DEN","PHI",2014-01-01,0,-9,1,0.760416833582869,1,0.760416833582869,1,0.758647045069713,1,"1","1",0.720268076465749,1,0.760557353496552,0.88
"240","UTA","DEN",2014-01-13,1,6,0,0.33494263695627,0,0.33494263695627,0,0.303324281915946,0,"0","0",0.307350922246678,0,0.285596430301666,0.13
"252","ATL","SAS",2015-03-22,0,-2,1,0.641925975161832,1,0.641925975161832,1,0.640752197024664,1,"1","1",0.604996861928575,1,0.645553290843964,0.9
"255","PHI","IND",2015-11-18,0,6,0,0.188144426363922,0,0.188144426363922,0,0.172295609981657,0,"0","0",0.226762608889201,0,0.17927248775959,0.04
"256","ORL","BOS",2015-11-29,1,2,0,0.558764324922726,1,0.558764324922726,1,0.470260169775248,0,"0","0",0.48909487314762,0,0.485314935445786,0.4
"260","MIA","ATL",2016-01-31,1,3,0,0.649745362271789,1,0.649745362271789,1,0.636312439721153,1,"1","1",0.622402252918543,1,0.659095108509064,0.59
"262","BOS","CHA",2016-04-11,0,-7,1,0.6153840447378,1,0.6153840447378,1,0.59931370857407,1,"1","1",0.613074785698662,1,0.614866018295288,0.78
"264","DAL","SAC",2016-12-18,1,1,0,0.518793074280181,1,0.518793074280181,1,0.546307289055722,1,"0","1",0.549350081393339,1,0.53878265619278,0.56
"265","DEN","SAS",2017-01-05,0,7,0,0.206205574332478,0,0.206205574332478,0,0.235002549187801,0,"0","0",0.276032210317269,0,0.228804677724838,0.19
"266","POR","CLE",2017-01-11,1,5,0,0.226638624234995,0,0.226638624234995,0,0.39897159742661,0,"0","0",0.446244525840166,0,0.377498358488083,0.28
"269","MIN","CHI",2017-02-12,1,-7,1,0.58407932562033,1,0.58407932562033,1,0.613310647665894,1,"1","1",0.5770639635209,1,0.606316447257996,0.61
"270","ATL","MIA",2017-02-24,0,-3,1,0.533457464390817,1,0.533457464390817,1,0.594812621525759,1,"1","1",0.580686420339476,1,0.576929092407227,0.71
"288","GSW","SAS",2014-11-11,0,-7.5,1,0.955377865660012,1,0.955377865660012,1,0.904295676684655,1,"1","1",0.86828351047695,1,0.89759373664856,0.87
"298","DET","IND",2015-12-12,1,-1.5,1,0.526929332732089,1,0.526929332732089,1,0.432394071556115,0,"1","0",0.487119354353079,0,0.456585824489594,0.49
"301","SAC","DAL",2016-03-27,1,-1.5,1,0.476419571187629,0,0.476419571187629,0,0.503740672912886,1,"1","0",0.513380549748227,1,0.484689146280289,0.51
