HOME,MATCHUP,ROAD,GAME DATE,W/L,SPREAD,TOTAL,H.OeFG,H.OTOV,H.OREB,H.OFT,H.OeFGL5,H.OTOVL5,H.OREBL5,H.OFTL5,H.DeFG,H.DTOV,H.DREB,H.DFT,H.DeFGL5,H.DTOVL5,H.DREBL5,H.DFTL5,H.PACE,H.PIE,H.REST,H.B2B,H.TRAV,H.3IN4,R.OeFG,R.OTOV,R.OREB,R.OFT,R.OeFGL5,R.OTOVL5,R.OREBL5,R.OFTL5,R.DeFG,R.DTOV,R.DREB,R.DFT,R.DeFGL5,R.DTOVL5,R.DREBL5,R.DFTL5,R.PACE,R.PIE,R.REST,R.B2B,R.TRAV,R.3IN4,H.ORTG,H.DRTG,H.NRTG,H.ORTGL5,H.DRTGL5,H.NRTGL5,R.ORTG,R.DRTG,R.NRTG,R.ORTGL5,R.DRTGL5,R.NRTGL5,H.PPG,H.PPGA,H.PPGL5,H.PPGAL5,R.PPG,R.PPGA,R.PPGL5,R.PPGAL5,H.PTS,R.PTS,Diff,ActTotal
LAC,LAC vs. GSW,GSW,3/12/2014,W,-6.5,211.5,0.526360225,12.93283388,25.0736377,0.262101313,0.572792363,15.2850846,29.16666667,0.22673031,0.485,14.00304414,72.85223368,0.220727273,0.470095694,17.24259272,76.57657658,0.205741627,96.37933321,54.91902562,2,0,0,0,0.512369086,14.05787157,25.76665492,0.191224269,0.546838407,12.66766021,26.10837438,0.166276347,0.472933431,13.94054636,75.80809799,0.224762253,0.462962963,15.65954311,76.30331754,0.241975309,96.63933554,53.19693095,1,1,1,1,109.338043,101.739941,7.598102057,113.4928154,92.76473778,20.72807763,104.57561,99.05111477,5.524495229,111.2029764,95.98214286,15.22083358,107.8153846,100.7538462,115,95.8,103.6,98.47692308,107.6,94.6,111,98,-13,209
NOP,NOP vs. MEM,MEM,3/12/2014,L,4,188.5,0.493598318,13.03680527,27.84763314,0.211733231,0.49513382,14.28778123,27.45098039,0.274939173,0.513191827,13.56900767,73.47254447,0.249355287,0.519607843,14.69007524,69.66824645,0.284313725,92.58996287,48.2202948,3,0,0,0,0.493035403,12.95045387,27.78424525,0.183787967,0.535626536,13.61300713,27.97927461,0.179361179,0.49529906,13.57468862,75.63057819,0.205241048,0.486552567,13.1517871,76.99530516,0.180929095,90.42404625,51.75977235,1,1,1,0,104.6168828,107.0812492,-2.464366439,104.6446108,109.267503,-4.622892233,103.1397324,102.364416,0.775316469,108.8630336,100.8460815,8.01695209,99.58730159,102.0793651,104,108,95.98412698,94.88888889,101.8,94.4,88,90,2,178
BOS,BOS vs. NYK,NYK,3/12/2014,L,4,199,0.47238806,14.22679937,27.17820007,0.194776119,0.462174941,14.05212059,30.45454545,0.203309693,0.494636015,13.51422581,73.86953299,0.225862069,0.495169082,12.45941252,72.5,0.214975845,94.10660045,46.78674783,1,1,1,1,0.500737735,12.4404292,25.21276596,0.177794172,0.545667447,11.55595318,25.58139535,0.175644028,0.516002356,13.9673897,75.08704062,0.248576478,0.477218225,14.27316645,68.0952381,0.220623501,91.27847353,48.00076252,2,0,0,0,98.72887383,103.561889,-4.833015132,99.17664671,105.1145939,-5.937947159,104.3134952,106.6627416,-2.349246464,112.3525503,102.1940435,10.15850671,95.4375,99.109375,95.4,99.8,98.36923077,100.3384615,108.2,98,92,116,24,208
SAS,SAS vs. POR,POR,3/12/2014,W,-8,210.5,0.538810581,13.96237948,22.06405694,0.195211431,0.561743341,12.49254177,20.20725389,0.256658596,0.486315398,13.00844521,75.87939698,0.17743437,0.5,12.67049266,78.57142857,0.178403756,94.85424837,55.17779164,1,1,1,0,0.503741981,12.45420427,28.89827526,0.218638632,0.482954545,14.52985539,33.47457627,0.211363636,0.48884327,11.022387,74.93055556,0.197965012,0.482718894,10.59476838,77.13004484,0.221198157,95.93486755,52.60946484,1,1,1,1,107.763835,100.6196489,7.144186102,114.6143328,102.7257101,11.88862275,108.5118999,104.6892386,3.822661286,103.7826575,103.738619,0.04403851,104.6349206,98.04761905,114,100.4,107.515625,102.90625,103.6,103,103,90,-13,193
PHI,PHI vs. SAC,SAC,3/12/2014,L,9.5,216.5,0.471341024,15.03159787,25.11800405,0.191059841,0.463443396,16.74691229,24.10714286,0.200471698,0.523400366,14.7283289,72.35654998,0.232175503,0.551344743,15.21047046,72.36180905,0.281173594,100.5096714,42.42029051,2,0,0,0,0.486391986,13.91663678,27.99276673,0.25023625,0.474226804,15.78445048,32.86384977,0.280927835,0.5156131,13.01712566,75.90316574,0.232482864,0.51142132,10.7827476,82.5,0.228426396,94.85311463,47.39887157,1,1,1,1,95.98715695,107.312464,-11.325307,92.05762268,110.8934169,-18.83579425,103.4770595,106.4263082,-2.949248693,100.4548901,105.8394161,-5.38452599,99.84126984,111.047619,95.6,113.2,101.109375,103.703125,95.4,98.6,98,115,17,213
CHI,CHI vs. HOU,HOU,3/13/2014,W,3.5,193.5,0.467898833,14.7433596,28.14814815,0.223735409,0.485714286,16.22488076,23.58974359,0.205194805,0.474459537,13.69253466,75.93390805,0.181748613,0.497442455,12.47484909,82,0.199488491,91.02670106,52.01886695,2,0,0,0,0.532182104,14.97338381,27.48267898,0.272762951,0.528465347,14.64208243,25.98039216,0.267326733,0.48232054,12.66483839,73.38492598,0.191542289,0.486714976,14.59534409,75.11111111,0.22705314,96.31550119,53.82114587,2,0,0,0,98.73630779,98.05743411,0.678873678,97.30217373,101.3015184,-3.999344712,107.9565259,102.1417269,5.814798928,106.9572171,100.9916281,5.965589055,93.125,92.34375,90.6,93.4,106.46875,101.671875,107,99.4,111,87,-24,198
OKC,OKC vs. LAL,LAL,3/13/2014,W,-16.5,227.5,0.521314892,14.46784128,27.22371968,0.239674119,0.538551402,13.51636006,25.59241706,0.275700935,0.485762458,13.8509292,76.05144247,0.21749719,0.503731343,14.2250072,84.30493274,0.313432836,96.12033329,54.5374977,2,0,0,0,0.505755663,14.16200305,20.37881445,0.200705533,0.522573363,14.06325033,17.62114537,0.232505643,0.503292324,11.99934475,70.56424201,0.189915093,0.566315789,13.55943279,67.87330317,0.181052632,98.52961404,46.14699898,4,0,0,0,107.8737647,100.4056089,7.468155824,112.2789327,102.0447383,10.23419441,101.5282892,106.8984735,-5.370184331,104.2203727,115.3163808,-11.09600815,105.75,99.171875,115.8,106.2,102.015625,107.890625,113.2,124.8,131,102,-29,233
ATL,ATL vs. MIL,MIL,3/13/2014,W,-8.5,208.5,0.517102418,14.30116101,21.43962848,0.204835856,0.518203883,13.02279934,19.13875598,0.213592233,0.512996942,14.06380323,73.85796545,0.190175841,0.57375,14.97790759,72.47191011,0.255,95.21548071,50.08103728,3,0,0,0,0.475018925,14.20570562,26.64298401,0.194928085,0.495192308,11.03133647,29.55665025,0.257211538,0.514274838,13.40427888,71.16034548,0.220593833,0.554761905,10.9632542,71.78217822,0.204761905,92.36827087,44.87490303,2,0,0,1,103.8755142,104.6367069,-0.761192693,105.1363711,115.6414908,-10.50511971,99.07637888,107.6699456,-8.593566718,109.2999747,116.9392424,-7.639267709,101.6612903,102.6290323,103,112.2,94.53125,102.546875,103.8,110.4,102,97,-5,199
GSW,GSW vs. CLE,CLE,3/14/2014,L,-9,200.5,0.512010676,14.01992479,25.58139535,0.191637011,0.544705882,12.99762329,24.13793103,0.176470588,0.473902088,13.88187091,75.77181208,0.224262059,0.484029484,16.03849238,75.11961722,0.230958231,96.64182083,53.02427651,2,0,0,1,0.469032142,13.16652925,27.97131148,0.202239075,0.506067961,13.79962193,24.74747475,0.191747573,0.5076371,13.0324203,75.39190667,0.199668752,0.535211268,11.23679676,74.87684729,0.199530516,93.67098237,45.80255517,2,0,0,0,104.4910344,99.25497799,5.236056458,109.8945992,98.25239591,11.64220332,100.0361176,104.9228891,-4.886771593,103.3333333,112.0175584,-8.684225057,103.5151515,98.66666667,107.6,97.6,97.15384615,101.5692308,99.2,108.2,94,103,9,197
MIA,MIA vs. DEN,DEN,3/14/2014,L,-10.5,215,0.559916055,14.55208063,19.96520226,0.231689402,0.507874016,14.9473852,18.18181818,0.223097113,0.508218344,15.98066023,72.2354813,0.221590909,0.512077295,15.52335896,69.11764706,0.178743961,92.26381158,54.45194168,2,0,0,0,0.495796784,13.93892368,27.42440042,0.219846491,0.542237443,14.41515651,25.23809524,0.226027397,0.494742567,12.54983639,74.15848527,0.237309645,0.525669643,12.79086067,77.23214286,0.207589286,98.0990048,48.08695251,2,0,0,0,109.83913,102.9051606,6.933969413,101.3397458,104.157952,-2.818206187,103.123736,105.299357,-2.175620993,108.3591331,108.5199723,-0.160839166,103.8709677,98.40322581,94.4,99.6,103.578125,105.734375,114.8,112.8,107,111,4,218
PHI,PHI vs. IND,IND,3/14/2014,L,16.5,205.5,0.470880682,15.06552221,25.09127116,0.192471591,0.455188679,16.50628644,24.34782609,0.205188679,0.523178211,14.77923018,72.31316726,0.236291486,0.538071066,15.95518366,71.79487179,0.342639594,100.549022,42.33790441,2,0,0,0,0.496615087,14.3952525,25.15337423,0.226305609,0.501329787,16.34899115,24.59016393,0.212765957,0.457285017,13.31413757,76.84101858,0.191137814,0.503605769,9.844799629,72.47706422,0.211538462,93.81820952,56.07388854,3,0,0,0,95.94069339,107.3475155,-11.40682211,92.11653813,109.8059244,-17.68938628,102.490328,95.57210184,6.918226194,100.0963729,110.6890228,-10.59264992,99.8125,111.109375,94.6,111.8,98.515625,92.015625,91.4,101.4,94,101,7,195
UTA,UTA vs. LAC,LAC,3/14/2014,L,9,204.5,0.484980989,13.94802096,25.52886339,0.202281369,0.506281407,14.81200152,28.36538462,0.211055276,0.5082324,11.96405466,74.02307406,0.224261923,0.567669173,12.59294795,82.25806452,0.177944862,91.67509879,45.79025111,2,0,0,0,0.526485788,12.88881728,25.0997461,0.260981912,0.573943662,14.89044884,30.36649215,0.208920188,0.485041204,13.96617567,73.0534868,0.220709423,0.498795181,15.77060932,78.53881279,0.209638554,96.38574326,54.95388146,2,0,0,0,100.625359,107.9660358,-7.340676795,104.1488452,112.1383325,-7.989487311,109.3877727,101.6982864,7.689486249,114.2021655,98.04305284,16.15911266,94.86153846,100.8615385,97.4,104.8,107.8636364,100.7121212,115.6,100.2,87,96,9,183
SAS,SAS vs. LAL,LAL,3/14/2014,W,-17.5,225,0.538067211,13.91353563,22.2265322,0.194987659,0.555155875,12.29783111,21.28712871,0.23501199,0.485148515,12.97845403,75.84507042,0.178767877,0.481796117,13.65200479,79.03930131,0.216019417,94.8184381,55.25910949,2,0,0,1,0.505018248,14.1219961,20.37800687,0.2,0.514672686,13.51628798,16.59751037,0.237020316,0.50443686,12.04738369,70.5033557,0.191808874,0.583333333,13.32324495,69.0821256,0.22008547,98.62835405,45.9293843,1,1,1,0,107.7794377,100.5429028,7.236534914,113.6363636,99.85207101,13.78429263,101.4267971,107.1482959,-5.721498812,103.0340876,119.3102434,-16.27615583,104.609375,97.921875,112.2,97.2,102.0153846,108.2461538,112.2,129.8,119,85,-34,204
TOR,TOR vs. MEM,MEM,3/14/2014,W,1,186.5,0.493529071,13.24364157,27.52808989,0.233726096,0.527131783,14.43306905,27.52808989,0.26873385,0.488013362,14.22161924,74.54819277,0.224405581,0.486352357,13.34385807,74.10714286,0.210918114,92.64546423,51.31396957,2,0,0,0,0.492561511,12.97943052,27.79686903,0.185390044,0.512437811,14.00613968,29.20792079,0.191542289,0.494481671,13.62335606,75.64984709,0.206543161,0.467741935,13.96756421,76.5258216,0.196029777,90.4013868,51.75330743,2,0,0,1,104.9317943,101.0393374,3.892456969,108.7880333,100.6159298,8.172103515,103.1116637,102.2485925,0.863071176,105.7983557,97.96339263,7.834963063,100.3174603,96.96825397,102.4,95.4,95.890625,94.78125,97.8,91.2,99,86,-13,185
CHA,CHA vs. MIN,MIN,3/14/2014,W,2.5,206,0.475708885,11.93201832,20.91038407,0.22362949,0.506053269,10.86029012,21.73913043,0.203389831,0.492139819,12.91541929,77.17391304,0.18457555,0.483091787,13.88680378,75.24271845,0.176328502,93.35612331,49.8868288,2,0,0,0,0.482104121,11.96579765,27.97106442,0.246746204,0.489795918,10.4123282,30.50847458,0.308390023,0.513808546,14.7963981,75.38631347,0.176525471,0.545454545,13.62928349,71.70731707,0.212121212,97.79482663,52.17745586,3,0,0,0,99.845798,101.318422,-1.472624002,106.663267,98.15721756,8.506049476,105.4947339,102.9988252,2.495908683,112.6447723,110.2651097,2.379662657,95.63076923,97.23076923,100.4,94.6,106.3333333,102.4285714,113.6,111.8,105,93,-12,198
BOS,BOS vs. PHX,PHX,3/14/2014,L,4.5,207.5,0.472339643,14.17672803,27.25352113,0.194817129,0.462650602,14.34878587,31.55555556,0.212048193,0.496132075,13.43744587,73.75549048,0.226415094,0.505995204,12.21437162,68.65671642,0.21822542,93.96078182,46.53727393,2,0,0,1,0.51597919,13.86211589,26.8037518,0.222222222,0.527644231,14.53488372,28.37209302,0.235576923,0.497100094,13.96410927,73.10344828,0.2404116,0.569174757,14.2118863,75.13227513,0.223300971,96.29958095,50.69938304,2,0,0,0,98.84006402,103.9862189,-5.146154865,99.87304274,109.3443601,-9.471317391,106.9357752,104.2970577,2.63871742,108.2050455,113.3791431,-5.174097549,95.38461538,99.36923077,94.4,102.6,105.46875,103.109375,107.4,112.2,80,87,7,167
NOP,NOP vs. POR,POR,3/14/2014,L,2,200.5,0.492840995,13.09145042,27.77980314,0.212886209,0.516209476,13.72301758,27.55102041,0.294264339,0.512414467,13.5883167,73.43987823,0.250048876,0.507481297,15.24500907,68.2464455,0.286783042,92.53377075,48.22671838,2,0,0,0,0.5023705,12.43391046,28.84283247,0.219315189,0.466042155,13.52409424,30.67226891,0.243559719,0.488927944,11.0211325,74.83782861,0.19771529,0.481308411,9.823546856,76.21145374,0.231308411,95.88322493,52.42375322,2,0,0,1,104.4697691,106.9963574,-2.526588309,109.6364686,107.8512397,1.785228882,108.3220417,104.7500031,3.572038562,102.6668848,105.2479815,-2.581096729,99.40625,101.890625,106.4,104.4,107.2461538,102.9076923,100.4,102.2,103,111,8,214
ORL,ORL vs. WAS,WAS,3/14/2014,L,5,200.5,0.48528343,13.47495244,21.84027778,0.192768895,0.496621622,12.13502979,22.56637168,0.13963964,0.503868994,12.98970342,75.56957589,0.206586288,0.515294118,14.42718723,73.23943662,0.211764706,94.30751373,46.74640721,2,0,0,0,0.502949853,13.53146893,25.36936937,0.179572271,0.53874092,14.26698542,28.42639594,0.12590799,0.507841239,15.10833712,75.72668932,0.222071636,0.526119403,12.01071119,72.30769231,0.2039801,93.65135326,49.88881683,2,0,0,0,99.48787749,104.66689,-5.179012534,102.0532381,104.6705257,-2.617287621,102.8773663,102.7687935,0.108572816,107.4176537,111.2628889,-3.845235199,97.01515152,102.2424242,100.6,105.6,100.46875,99.890625,99.4,101,101,105,4,206
WAS,WAS vs. BKN,BKN,3/15/2014,W,2.5,196.5,0.502176279,13.46930922,25.3276656,0.180812477,0.521327014,13.60544218,28.6407767,0.137440758,0.50731661,15.05911886,75.84290478,0.21949829,0.504761905,11.87648456,73.58490566,0.171428571,93.63751385,49.95443776,1,1,1,1,0.504060914,14.01157758,21.79836512,0.238781726,0.535620053,15.16360734,17.1875,0.216358839,0.50482509,15.31478228,72.5166863,0.242058705,0.504065041,20.200876,68.30601093,0.254742547,92.17402375,49.05859847,3,0,0,0,102.8660836,102.6368861,0.229197568,105.9123777,106.4286327,-0.516255024,103.105419,103.8899494,-0.78453037,104.228962,98.79579376,5.433168224,100.5384615,99.90769231,99.6,99.2,97.47619048,98.82539683,97.6,93.2,101,94,-7,195
ATL,ATL vs. DEN,DEN,3/15/2014,W,-5.5,220,0.517922883,14.36721776,21.42857143,0.205192792,0.509950249,14.4982831,19.8019802,0.21641791,0.511651945,13.97078941,73.74764595,0.190753618,0.529339853,13.8224746,70.25641026,0.234718826,95.16860033,50.09756098,2,0,0,0,0.496218941,13.95832424,27.38503775,0.221101909,0.53968254,14.70990695,22.33009709,0.213151927,0.495711989,12.63459487,74.26496022,0.236733965,0.521493213,13.56521739,78.07017544,0.226244344,98.14257278,48.1814059,1,1,1,1,103.9327301,104.6241951,-0.691464945,102.6435357,110.8178314,-8.174295677,103.2007546,105.2731527,-2.072398183,105.8220704,106.8571429,-1.035072458,101.6666667,102.5396825,99.4,105.8,103.6923077,105.7538462,114,112.2,97,92,-5,189
DET,DET vs. IND,IND,3/15/2014,L,5,197.5,0.482066761,13.16421298,31.09634551,0.197975852,0.467592593,11.73793701,27.19665272,0.203703704,0.517119464,14.4986052,73.72316802,0.218459248,0.495454545,11.59803012,72.32142857,0.206818182,95.78994526,46.93402683,3,0,0,0,0.498567882,14.50811412,25.02844141,0.226083636,0.544817927,19.33301112,23.66863905,0.204481793,0.456887001,13.25121421,76.9126608,0.190915805,0.489336493,9.756657484,73.42342342,0.213270142,93.83422163,56.11267606,1,1,1,0,102.3539052,105.6258473,-3.271942023,100.662902,105.7298772,-5.066975179,102.5537583,95.56347792,6.99028036,101.1915192,108.4706288,-7.279109641,100.6923077,103.5692308,98.4,105.4,98.55384615,92.04615385,92.4,100.6,104,112,8,216
PHI,PHI vs. MEM,MEM,3/15/2014,L,14,201,0.470290108,14.982319,24.99183273,0.192240475,0.461448598,15.05810658,22.70742358,0.212616822,0.524683657,14.8780956,72.45508982,0.235965069,0.582010582,17.69336318,73.48066298,0.338624339,100.4625303,42.32986809,1,1,0,1,0.492100809,13.02037253,27.83001128,0.186195223,0.511335013,13.27917513,28.06122449,0.188916877,0.49552964,13.67874156,75.63279184,0.207191448,0.45875,13.26984623,75.35545024,0.2125,90.36443924,51.59553831,1,1,1,1,95.92730717,107.3380404,-11.41073324,94.83296909,112.279592,-17.44662291,103.001152,102.3698666,0.631285435,105.2332196,98.16697072,7.066248844,99.72307692,110.9538462,97.2,113.6,95.73846154,94.84615385,96.2,90.4,77,103,26,180
NYK,NYK vs. MIL,MIL,3/15/2014,W,-10,207,0.502090149,12.37901994,25.33286615,0.179025809,0.574292453,10.02041897,27.77777778,0.200471698,0.515268651,13.91982183,74.96206373,0.247777348,0.481927711,13.44788943,68.80733945,0.207228916,91.17858807,48.3273988,3,0,0,0,0.474316025,14.11172235,26.73647469,0.195421552,0.485815603,11.07992318,31.25,0.243498818,0.515108859,13.48115223,71.26436782,0.220720721,0.560827251,12.95830475,73.73737374,0.187347932,92.36628285,44.93846007,2,0,0,0,104.7270341,106.6650324,-1.937998395,120.695476,103.9794608,16.71601518,99.14771994,107.6687969,-8.521076947,107.8653572,113.7998139,-5.934456686,98.63636364,100.2121212,114.4,97.2,94.56923077,102.5384615,102.8,107.6,115,94,-21,209
CHI,CHI vs. SAC,SAC,3/15/2014,W,-8,190,0.469766552,14.64617169,28.10218978,0.222158439,0.504926108,12.39767003,23.03921569,0.18226601,0.473143611,13.70639808,75.67090395,0.183942706,0.472292191,12.95031787,76.44230769,0.20906801,90.98888493,52.29577537,2,0,0,0,0.48667288,13.98266653,28.03138374,0.254240447,0.479695431,15.8045977,30.98591549,0.299492386,0.514430285,13.08653687,75.91508053,0.23332084,0.504962779,12.48079877,81.33971292,0.23573201,94.97832191,47.62847713,3,0,0,0,99.1021874,98.02158861,1.080598785,104.9527279,99.42688433,5.525843569,103.5769105,106.2041517,-2.627241164,101.0594947,104.192611,-3.133116339,93.4,92.26153846,96.8,91.6,101.3230769,103.6153846,99.2,100.4,94,87,-7,181
NOP,NOP vs. BOS,BOS,3/16/2014,W,-6,196,0.49286244,13.03715373,27.67792955,0.212829069,0.520631068,13.6821366,27.91878173,0.283980583,0.513383401,13.61169417,73.6329588,0.250336992,0.525547445,14.67816758,73.36448598,0.255474453,92.5956599,48.25463899,2,0,0,0,0.469828365,14.1521284,27.33540159,0.194941283,0.436489607,12.85300507,32.24489796,0.198614319,0.495539033,13.47701231,73.86609071,0.225650558,0.498746867,13.55789795,71.92118227,0.235588972,93.99253199,46.47355164,2,0,0,0,104.4926168,107.0630626,-2.570445773,110.7145754,108.5199256,2.194649759,98.5561833,103.7696966,-5.213513283,98.01436417,105.4255593,-7.411195096,99.46153846,102.0307692,109.2,107.4,95.15151515,99.18181818,92.8,98.4,121,120,-1,241
MIL,MIL vs. CHA,CHA,3/16/2014,L,6,195,0.474055739,14.04780498,26.85694635,0.196186285,0.481927711,11.39335077,31.37254902,0.25060241,0.516376758,13.44732894,71.10377704,0.221872687,0.571960298,13.43673219,71.27659574,0.198511166,92.26125707,44.82888304,1,1,1,1,0.476584278,11.95536663,21.07843137,0.221520164,0.498809524,12.12121212,23.58490566,0.188095238,0.491710694,12.87128713,77.36185383,0.184915285,0.480952381,12.42189264,78.77358491,0.178571429,93.38472873,49.98580621,2,0,0,0,99.25696437,108.0202657,-8.76330138,106.9155706,115.8557478,-8.940177175,99.95635508,101.2472371,-1.290882053,104.1841004,98.49481823,5.689282192,94.56060606,102.7272727,100.8,108.2,95.77272727,97.16666667,99.6,95.8,92,101,9,193
LAC,LAC vs. CLE,CLE,3/16/2014,W,-11.5,207.5,0.526756462,12.87034803,24.99104905,0.259737896,0.570754717,14.35647118,29.25531915,0.202830189,0.485244743,14.04222351,73.06791569,0.219473405,0.5,16.41257568,80.6763285,0.21182266,96.28975896,54.97343437,2,0,0,0,0.47019573,13.14690806,27.71977097,0.201601423,0.508433735,13.36294512,21.84466019,0.195180723,0.507893304,13.08419147,75.58348294,0.199237888,0.521327014,12.4674358,78.46889952,0.201421801,93.70110327,45.91939316,2,0,0,0,109.3539704,101.5729171,7.781053284,113.4915578,96.78180817,16.70974965,100.1148091,104.7952924,-4.68048322,103.4298404,106.6206336,-3.190793197,107.6865672,100.5074627,114,98.4,97.24242424,101.4545455,100.6,105,102,80,-22,182
OKC,OKC vs. DAL,DAL,3/16/2014,L,-7.5,213,0.522265698,14.47642652,27.32447818,0.240916713,0.544827586,13.80071764,26.54028436,0.275862069,0.485364507,13.81610692,76.1239782,0.216494845,0.495327103,13.14037424,81.78137652,0.257009346,96.255863,54.76136621,3,0,0,0,0.522793316,12.58805933,24.09024745,0.203596077,0.515931373,12.225873,23.07692308,0.220588235,0.516584998,15.06134227,73.04730473,0.238974746,0.530456853,15.93072944,70.93596059,0.248730964,94.29170224,51.64521354,4,0,0,0,108.1144612,100.3210772,7.793384003,113.4280477,101.567255,11.86079264,108.4064659,105.8670749,2.539391061,107.4703458,108.7322994,-1.261953637,106.1384615,99.21538462,118.8,106.8,104.2121212,102.2727273,102.2,103.2,86,109,23,195
POR,POR vs. GSW,GSW,3/16/2014,L,2,206.5,0.503377793,12.47234393,28.63466122,0.219989607,0.475352113,13.48474095,29.50819672,0.248826291,0.489006233,10.99901493,74.89892183,0.197887812,0.51056338,10.17764619,74.52830189,0.237089202,95.89383176,52.38729068,2,0,0,0,0.512199403,14.05583297,25.38487855,0.19132877,0.553217822,14.43111044,19.40298507,0.190594059,0.474991132,13.85277868,75.96822244,0.223306137,0.504842615,14.41348215,78.46889952,0.208232446,96.62766082,52.92821159,2,0,0,0,108.3650074,104.7676047,3.597402654,103.9462978,110.1973684,-6.251070618,104.3745065,99.34222382,5.032282635,107.4563202,101.3785876,6.077732684,107.3030303,102.9090909,102.2,107.2,103.3731343,98.73134328,104.8,100.6,112,113,1,225
MIA,MIA vs. HOU,HOU,3/16/2014,W,-5,207,0.559946348,14.61360993,19.93156544,0.231118448,0.517015707,16.85481342,17.0984456,0.212041885,0.508483034,15.967898,72.28537828,0.222954092,0.504784689,15.2293578,70.87378641,0.193779904,92.40017603,54.31034483,2,0,0,0,0.529951691,14.96687108,27.70219199,0.273623188,0.49382716,14.22705662,27.64976959,0.286419753,0.483811691,12.60108411,73.4063745,0.190584529,0.5,14.4667448,74.66063348,0.202380952,96.19672521,53.47963255,3,0,0,0,109.7318968,102.9922806,6.739616282,99.74017266,103.7113402,-3.971167547,107.7816442,102.4413802,5.340263916,104.1834922,103.0444009,1.139091252,103.9206349,98.6031746,95.2,100.6,106.1692308,101.8153846,103.2,101,113,104,-9,217
TOR,TOR vs. PHX,PHX,3/16/2014,L,-4,204,0.49456936,13.30291556,27.50833025,0.233993902,0.534300792,15.98613251,27.42857143,0.269129288,0.487604106,14.24376176,74.48071217,0.224675576,0.485861183,14.11782662,75.2293578,0.223650386,92.57357121,51.43376414,2,0,0,0,0.515104357,13.89470744,26.68559262,0.221530575,0.520731707,14.52643812,25.23364486,0.246341463,0.494116566,13.94308106,73.01136364,0.239749954,0.51635514,13.81512846,72.98578199,0.221962617,96.2959066,50.79165502,2,0,0,0,105.0119097,100.9608803,4.051029441,107.5976231,98.90250128,8.695121814,106.6781089,103.9313079,2.746800984,106.2973104,107.3227276,-1.02541728,100.296875,96.796875,101.4,93,105.1846154,102.7538462,105.6,107.4,113,121,8,234
MIN,MIN vs. SAC,SAC,3/16/2014,W,-9.5,209.5,0.481831136,11.93669011,27.71370421,0.246170289,0.483069977,9.431908873,26.80851064,0.227990971,0.514036697,14.77375296,75.27154236,0.175229358,0.531764706,13.37865201,69.11764706,0.197647059,97.75528618,52.05022038,2,0,0,0,0.484954128,14.00085905,28.18627451,0.254495413,0.444444444,17.01754386,32.15859031,0.29040404,0.513298855,13.05067661,76.03603604,0.234761729,0.497493734,13.03780965,83.09178744,0.243107769,95.00017488,47.53754314,1,1,1,0,105.3624393,103.0600571,2.302382268,108.3306029,109.3609728,-1.03036994,103.3157657,106.0719966,-2.756230941,93.9637827,101.5291023,-7.565319573,106.125,102.46875,105.8,107.2,101.1060606,103.469697,93.4,98.8,104,102,-2,206
SAS,SAS vs. UTA,UTA,3/16/2014,W,-15,201,0.538397018,13.90401594,22.51428571,0.193289842,0.555294118,13.03134865,26.08695652,0.202352941,0.483137962,12.91394308,76.01935038,0.179260595,0.444575472,12.34067634,78.68852459,0.219339623,94.91006469,55.47489413,2,0,0,0,0.485197677,14.02973035,25.53116147,0.20123665,0.506297229,16.07899516,28.28282828,0.204030227,0.508768657,11.95733228,74.14616232,0.223507463,0.560913706,12.43282265,83.5106383,0.187817259,91.64866256,45.7585721,2,0,0,0,107.9277989,100.2341743,7.693624633,113.6826664,95.73861322,17.94405323,100.5079243,107.9505621,-7.442637886,102.1919431,110.3318508,-8.13990771,104.8307692,97.72307692,111.6,94,94.74242424,100.7878788,96.6,103.2,122,104,-18,226
CHA,CHA vs. ATL,ATL,3/17/2014,L,-2.5,200.5,0.47861993,12.05183142,21.08183079,0.221325014,0.51703163,13.04581383,23.30097087,0.177615572,0.491125852,12.832036,77.2169646,0.183936895,0.482269504,11.89666893,79.16666667,0.1678487,93.30753226,50.14193308,1,1,1,1,0.517550553,14.34552215,21.26781695,0.205265166,0.541772152,15.54207733,19.3877551,0.22278481,0.510825315,14.04140569,73.73101149,0.190784604,0.515738499,14.4656852,68.96551724,0.225181598,95.24863339,50.12248469,2,0,0,0,100.1609563,101.2287505,-1.067794266,105.2320176,98.85256728,6.379450303,103.7928612,104.3730924,-0.58023114,105.3921569,107.4267263,-2.034569416,95.85074627,97.08955224,99.6,95.8,101.59375,102.375,103.2,103.8,83,97,14,180
DAL,DAL vs. BOS,BOS,3/17/2014,W,-11.5,203,0.524099624,12.66100579,24.10939187,0.203726931,0.521464646,12.90148656,23.52941176,0.244949495,0.515227484,15.04822082,73.11439913,0.238997214,0.507614213,16.04984894,74.27184466,0.220812183,94.27160658,51.90155658,1,1,1,0,0.470791903,14.13258838,27.35913103,0.19477983,0.445652174,10.42255512,30.88803089,0.180434783,0.49588966,13.42184293,73.88535032,0.226160029,0.524213075,12.85969882,70.44334975,0.232445521,94.02633999,46.50578418,1,1,1,1,108.5200763,105.6274916,2.892584713,108.2067385,102.1821234,6.024615148,98.73313052,103.93607,-5.202939522,101.423634,111.003861,-9.580227034,104.2835821,102.0298507,102,97.4,95.52238806,99.50746269,98.6,105.8,94,89,-5,183
