HOME,MATCHUP,ROAD,GAME DATE,W/L,SPREAD,TOTAL,H.OeFG,H.OTOV,H.OREB,H.OFT,H.OeFGL5,H.OTOVL5,H.OREBL5,H.OFTL5,H.DeFG,H.DTOV,H.DREB,H.DFT,H.DeFGL5,H.DTOVL5,H.DREBL5,H.DFTL5,H.PACE,H.PIE,H.REST,H.B2B,H.TRAV,H.3IN4,R.OeFG,R.OTOV,R.OREB,R.OFT,R.OeFGL5,R.OTOVL5,R.OREBL5,R.OFTL5,R.DeFG,R.DTOV,R.DREB,R.DFT,R.DeFGL5,R.DTOVL5,R.DREBL5,R.DFTL5,R.PACE,R.PIE,R.REST,R.B2B,R.TRAV,R.3IN4,H.ORTG,H.DRTG,H.NRTG,H.ORTGL5,H.DRTGL5,H.NRTGL5,R.ORTG,R.DRTG,R.NRTG,R.ORTGL5,R.DRTGL5,R.NRTGL5,H.PPG,H.PPGA,H.PPGL5,H.PPGAL5,R.PPG,R.PPGA,R.PPGL5,R.PPGAL5,H.PTS,R.PTS,Diff,ActTotal
NYK,NYK vs. SAS,SAS,11/10/2013,L,3,194.5,0.48923445,14.89329613,25.92592593,0.14354067,0.48923445,14.89329613,25.92592593,0.14354067,0.468085106,17.51280506,72.02072539,0.305851064,0.468085106,17.51280506,72.02072539,0.305851064,93.24504,48.8453464,2,0,0,0,0.497,13,19.8,0.123,0.479,12.6,21.2,0.121,0.493,16.1,80.3,0.141,0.5,16.9,81.3,0.154,96.2,51.5,2,0,0,0,98.85338504,97.89535469,0.958030356,98.85338504,97.89535469,0.958030356,98.28093966,93.9900283,4.290911364,96.53061224,94.48562352,2.044988721,93.8,93.4,93.8,93.4,95.66666667,93,94.6,92.8,89,120,31,209
OKC,OKC vs. WAS,WAS,11/10/2013,W,-8.5,204,0.466830467,15.46281814,28.77358491,0.321867322,0.466830467,15.46281814,28.77358491,0.321867322,0.485436893,17.18517469,73.75565611,0.235436893,0.485436893,17.18517469,73.75565611,0.235436893,98.79184,52.42404654,2,0,0,0,0.508,14.7,26.5,0.177,0.508,14.7,26.5,0.177,0.54,17.4,73.2,0.215,0.54,17.4,73.2,0.215,98.6,47,2,0,0,0,101.8658799,98.13600821,3.7298717,101.8658799,98.13600821,3.7298717,103.1272099,103.3297281,-0.202518191,103.1272099,103.3297281,-0.202518191,102.2,99.4,102.2,99.4,105,107,105,107,106,105,-1,211
CHA,CHA vs. ATL,ATL,11/11/2013,L,2,196,0.443844492,13.43916013,27.12550607,0.282937365,0.457104558,14.64769441,28.20512821,0.316353887,0.494855967,14.57448831,72.54098361,0.189300412,0.487804878,13.88677522,74.14634146,0.187804878,92.26046667,46.89054726,3,0,0,0,0.517,12.3,19.9,0.207,0.513,11.7,21.3,0.181,0.531,14.9,78.7,0.175,0.511,14.2,78.5,0.162,98.4,53.1,2,0,0,0,95.84777534,101.5525308,-5.704755497,97.5184839,100.9139375,-3.395453652,104.0015848,103.6866359,0.314948841,103.7104865,100.9310539,2.779432647,90.33333333,95.5,91.8,95.4,105,103.5,104.2,100.6,94,103,9,197
CHI,CHI vs. CLE,CLE,11/11/2013,W,-8.5,188,0.459697733,17.53673484,29.43925234,0.234256927,0.459697733,17.53673484,29.43925234,0.234256927,0.46626506,15.07131304,72.68722467,0.187951807,0.46626506,15.07131304,72.68722467,0.187951807,94.1584,51.08401084,3,0,0,0,0.448,14.3,27.3,0.179,0.456,14.5,26,0.16,0.489,15.7,76.9,0.215,0.498,16,75.1,0.2,95.8,45.3,2,0,0,1,95.67179144,96.45701958,-0.785228138,95.67179144,96.45701958,-0.785228138,93.78379917,98.10305776,-4.319258589,94.26132322,100.0235812,-5.762257982,91.6,93,91.6,93,94.14285714,99,95.4,101.8,96,81,-15,177
UTA,UTA vs. DEN,DEN,11/11/2013,L,2.5,197,0.427065026,17.12153736,32.51533742,0.224956063,0.420987654,16.5286254,32.31441048,0.224691358,0.503616637,14.94369429,71.01449275,0.267631103,0.535989717,15.30034001,70.81081081,0.257069409,94.2284,38.82352941,2,0,0,1,0.478,14.8,24.4,0.197,0.478,14.8,24.4,0.197,0.496,12.1,74,0.186,0.496,12.1,74,0.186,99,44.9,3,0,0,0,90.74249231,105.3056103,-14.56311801,90.64965587,108.7505259,-18.10087001,97.22551577,104.373363,-7.147847196,97.22551577,104.373363,-7.147847196,87.71428571,100.7142857,86.4,103.4,98.4,105.2,98.4,105.2,81,100,19,181
POR,POR vs. DET,DET,11/11/2013,W,-4.5,198.5,0.510700389,12.44469027,29.52755906,0.184824903,0.520785219,12.28636397,30.9178744,0.180138568,0.494174757,11.36859154,73.046875,0.174757282,0.484953704,10.81685938,73.2718894,0.175925926,93.835,53.28947368,2,0,0,1,0.485,15.4,30.5,0.24,0.485,15.4,30.5,0.24,0.513,17.1,74.7,0.297,0.513,17.1,74.7,0.297,94.9,46.4,3,0,0,0,107.6613183,104.5156337,3.145684606,109.9060916,103.5131744,6.392917177,102.0612769,103.6650069,-1.603730069,102.0612769,103.6650069,-1.603730069,103.3333333,99.83333333,105.8,99,101.8,101.6,101.8,101.6,109,103,-6,212
IND,IND vs. MEM,MEM,11/11/2013,W,-6.5,182,0.506542056,16.75179876,25,0.228037383,0.503807107,15.93090211,25.75757576,0.19035533,0.424740484,15.21623065,75.1552795,0.183391003,0.42125,15.28000611,77.29257642,0.2075,93.1336,61.36004217,2,0,0,1,0.506,16.4,25.3,0.216,0.517,17.3,25.8,0.247,0.512,15.6,75.7,0.244,0.495,15.6,73.3,0.266,93.5,50.6,2,0,0,0,100.4113235,89.21099821,11.20032529,100.4255319,89.06607855,11.35945337,100.6677114,103.3873649,-2.719653536,102.584214,102.606537,-0.022323027,94.85714286,85.28571429,94.4,84,98.5,99.5,99.4,99.2,95,79,-16,174
LAC,LAC vs. MIN,MIN,11/11/2013,W,-6.5,210,0.532312925,13.7755102,28.28282828,0.244897959,0.527380952,13.29981052,27.10280374,0.233333333,0.534759358,15.38024091,73.51916376,0.256684492,0.522959184,14.0481007,76.11940299,0.262755102,97.8404,52.22638369,2,0,0,0,0.468,14.2,25.9,0.265,0.467,14.6,26.2,0.249,0.49,16.8,71.7,0.132,0.502,17,71.8,0.125,100.7,55.1,1,1,1,1,110,106.6330333,3.366966692,110.2102347,105.5816251,4.628609588,99.97308934,96.63115623,3.341933116,98.91814193,98.05082071,0.867321221,110,106.2857143,108.2,102.6,106.1428571,99,104.6,99.4,109,107,-2,216
BOS,BOS vs. ORL,ORL,11/11/2013,W,-1.5,191,0.479427549,16.5651384,27.11267606,0.202146691,0.476019185,15.79690752,25.24271845,0.160671463,0.483754513,15.51394929,69.56521739,0.23465704,0.493489583,17.22588376,72.90640394,0.231770833,93.4304,47.61904762,2,0,0,1,0.504,15.8,25.4,0.16,0.516,16,24.2,0.195,0.432,12.1,73.4,0.209,0.411,10.7,73.5,0.178,97.9,50.8,2,0,0,1,96.64065757,100.4282526,-3.787595035,95.45753785,97.68723386,-2.229696011,98.86447093,95.32647208,3.537998857,101.0716025,92.34775641,8.723846123,92.71428571,95.14285714,92.8,93.6,100,96.85714286,99.6,92.2,120,105,-15,225
PHI,PHI vs. SAS,SAS,11/11/2013,L,6.5,204,0.516286645,16.35031471,24.82993197,0.174267101,0.497727273,16.390084,25.22522523,0.181818182,0.499235474,14.55516528,72.27138643,0.145259939,0.486315789,13.9507075,70.96774194,0.155789474,100.4535121,49.61028839,2,0,0,1,0.513,13,20.6,0.151,0.515,13,21.5,0.164,0.482,15.2,80.7,0.158,0.5,16.5,81.2,0.164,95.7,54.7,1,1,1,1,100.0756307,101.4484891,-1.372858417,97.78751038,101.1091828,-3.321672444,102.4747505,93.84427942,8.630471043,103.9251408,95.45565799,8.469482784,105.8571429,106.8571429,103.6,107.2,99.14285714,92.42857143,100.4,93.6,85,109,24,194
